GEO UID,Census Tract name,Total Education,No certificate,High (secondary) school,Postsecondary Education
5350378.12,378.12,2720,435,710,1570
5350378.14,378.14,1830,300,430,1090
5350378.16,378.16,3095,470,855,1765
5350378.17,378.17,1690,160,525,1005
5350378.18,378.18,1290,185,360,740
5350378.19,378.19,2605,495,800,1315
5350378.20,378.20,925,160,305,460
5350378.21,378.21,1860,465,460,935
5350378.22,378.22,1755,450,450,855
5350378.23,378.23,2095,315,455,1325
5350378.24,378.24,2750,440,665,1650
5350378.25,378.25,4030,615,1040,2370
5350378.26,378.26,2730,475,730,1525
5350378.27,378.27,3135,415,840,1880
5350378.28,378.28,3625,500,1065,2060
5350400.02,400.02,3010,120,600,2295
5350400.03,400.03,1510,105,225,1175
5350400.04,400.04,985,75,200,705
5350400.06,400.06,1615,65,360,1190
5350400.07,400.07,1615,70,295,1260
5350400.08,400.08,1315,140,315,870
5350400.11,400.11,3205,575,840,1795
5350400.12,400.12,3545,260,820,2465
5350400.13,400.13,3510,710,975,1825
5350400.14,400.14,2995,705,785,1510
5350400.15,400.15,2345,100,420,1825
5350400.16,400.16,2840,190,540,2110
5350400.17,400.17,2465,445,830,1195
5350400.18,400.18,1260,380,295,580
5350400.19,400.19,6260,345,1165,4745
5350400.20,400.20,3060,265,535,2255
5350400.21,400.21,1830,135,320,1375
5350400.22,400.22,5480,580,1285,3610
5350400.23,400.23,5885,845,1425,3610
5350401.04,401.04,1695,310,420,965
5350401.05,401.05,2020,110,275,1635
5350401.06,401.06,3170,195,545,2430
5350401.07,401.07,1965,50,240,1675
5350401.08,401.08,1755,60,270,1425
5350401.09,401.09,4130,190,730,3200
5350401.10,401.10,2265,85,345,1835
5350401.11,401.11,3385,570,935,1885
5350401.13,401.13,3545,955,1080,1510
5350401.14,401.14,3850,200,720,2935
5350401.15,401.15,1310,100,235,980
5350401.17,401.17,1645,240,430,970
5350401.18,401.18,5535,415,920,4210
5350401.19,401.19,3255,910,805,1545
5350401.20,401.20,2155,500,695,955
5350401.21,401.21,1540,335,455,745
5350401.22,401.22,4435,555,1100,2775
5350401.23,401.23,1015,140,275,605
5350402.01,402.01,1225,25,165,1040
5350402.02,402.02,3585,125,650,2805
5350402.03,402.03,1390,40,205,1140
5350402.04,402.04,2515,60,335,2115
5350402.05,402.05,950,20,150,780
5350402.06,402.06,3155,195,580,2380
5350402.07,402.07,1105,40,145,915
5350402.08,402.08,2625,60,290,2275
5350402.09,402.09,1850,65,320,1465
5350402.10,402.10,2180,75,310,1790
5350402.12,402.12,3650,205,540,2905
5350402.13,402.13,2200,25,225,1945
5350403.01,403.01,3625,200,730,2690
5350403.04,403.04,2400,140,315,1945
5350403.05,403.05,2430,90,360,1980
5350403.07,403.07,6850,515,1250,5085
5350403.09,403.09,2675,170,445,2060
5350403.10,403.10,3120,240,565,2320
5350403.11,403.11,5830,530,1070,4235
5350403.12,403.12,5455,370,955,4125
5350403.13,403.13,3390,180,665,2550
5350403.14,403.14,6340,500,1150,4690
5350403.15,403.15,7015,345,880,5790
5350403.16,403.16,2590,260,535,1795
5350410.02,410.02,2255,130,430,1695
5350410.03,410.03,3345,95,465,2785
5350410.04,410.04,1735,50,295,1385
5350410.05,410.05,3115,40,350,2725
5350410.07,410.07,1720,75,180,1460
5350410.09,410.09,2395,80,385,1930
