Name,"Census Tract ID","Households by Income (Current Year) | Median Household Income (Current Year $), 2025"
"CT0283.02, Toronto, ON",5350283.02,61751.12
"CT0284.00, Toronto, ON",5350284.00,87325.46
"CT0285.00, Toronto, ON",5350285.00,89876.59
"CT0286.00, Toronto, ON",5350286.00,84517.83
"CT0287.02, Toronto, ON",5350287.02,87804.71
"CT0287.03, Toronto, ON",5350287.03,51080.38
"CT0287.04, Toronto, ON",5350287.04,85002.01
"CT0288.00, Toronto, ON",5350288.00,86425.41
"CT0289.00, Toronto, ON",5350289.00,90492.31
"CT0290.01, Toronto, ON",5350290.01,68561.85
"CT0290.02, Toronto, ON",5350290.02,82396.2
"CT0291.02, Toronto, ON",5350291.02,68092.14
"CT0291.03, Toronto, ON",5350291.03,75886.38
"CT0291.04, Toronto, ON",5350291.04,74717.36
"CT0292.00, Toronto, ON",5350292.00,83124.92
"CT0293.00, Toronto, ON",5350293.00,114050.99
"CT0294.01, Toronto, ON",5350294.01,80609.41
"CT0294.02, Toronto, ON",5350294.02,98697.4
"CT0295.00, Toronto, ON",5350295.00,79955.95
"CT0296.00, Toronto, ON",5350296.00,101696.54
"CT0297.01, Toronto, ON",5350297.01,89860.25
"CT0297.02, Toronto, ON",5350297.02,117111.86
"CT0298.00, Toronto, ON",5350298.00,144086.79
"CT0299.01, Toronto, ON",5350299.01,132490.03
"CT0299.02, Toronto, ON",5350299.02,80338.21
"CT0300.01, Toronto, ON",5350300.01,70015.03
"CT0300.02, Toronto, ON",5350300.02,107501.64
"CT0300.03, Toronto, ON",5350300.03,131790.67
"CT0301.01, Toronto, ON",5350301.01,124278
"CT0301.03, Toronto, ON",5350301.03,70437.62
"CT0301.04, Toronto, ON",5350301.04,79822.72
"CT0302.01, Toronto, ON",5350302.01,100796.18
"CT0302.02, Toronto, ON",5350302.02,83023.4
"CT0302.03, Toronto, ON",5350302.03,94683.67
"CT0303.00, Toronto, ON",5350303.00,66893
"CT0304.01, Toronto, ON",5350304.01,76265.09
"CT0304.02, Toronto, ON",5350304.02,115702.94
"CT0304.03, Toronto, ON",5350304.03,126506.96
"CT0304.04, Toronto, ON",5350304.04,67042.55
"CT0304.05, Toronto, ON",5350304.05,98639.31
"CT0304.06, Toronto, ON",5350304.06,93877.72
"CT0305.01, Toronto, ON",5350305.01,123078.93
"CT0305.03, Toronto, ON",5350305.03,98616.42
"CT0305.05, Toronto, ON",5350305.05,86133.78
"CT0305.06, Toronto, ON",5350305.06,72544.91
"CT0306.01, Toronto, ON",5350306.01,103007.96
"CT0306.02, Toronto, ON",5350306.02,112045.99
"CT0307.03, Toronto, ON",5350307.03,75936.89
"CT0307.04, Toronto, ON",5350307.04,87744.43
"CT0307.05, Toronto, ON",5350307.05,69802.23
"CT0307.06, Toronto, ON",5350307.06,85560.08
"CT0307.07, Toronto, ON",5350307.07,83678.4
"CT0308.02, Toronto, ON",5350308.02,113513.22
"CT0308.03, Toronto, ON",5350308.03,138058.69
"CT0308.05, Toronto, ON",5350308.05,136237.04
"CT0308.06, Toronto, ON",5350308.06,75529.95
"CT0308.07, Toronto, ON",5350308.07,62441.41
"CT0309.00, Toronto, ON",5350309.00,76281.05
"CT0310.01, Toronto, ON",5350310.01,121534.18
"CT0310.02, Toronto, ON",5350310.02,92914.79
"CT0311.02, Toronto, ON",5350311.02,67522.54
"CT0311.03, Toronto, ON",5350311.03,84001.74
"CT0311.04, Toronto, ON",5350311.04,78342.65
"CT0311.05, Toronto, ON",5350311.05,75248.12
"CT0311.06, Toronto, ON",5350311.06,62070.02
"CT0312.02, Toronto, ON",5350312.02,77313.26
"CT0312.03, Toronto, ON",5350312.03,76393.85
"CT0312.04, Toronto, ON",5350312.04,66055.97
"CT0312.05, Toronto, ON",5350312.05,60524.57
"CT0312.06, Toronto, ON",5350312.06,69633.72
"CT0312.07, Toronto, ON",5350312.07,55900.74
"CT0313.00, Toronto, ON",5350313.00,84001.87
"CT0314.01, Toronto, ON",5350314.01,70427.99
"CT0314.02, Toronto, ON",5350314.02,87880
"CT0315.01, Toronto, ON",5350315.01,99254.51
"CT0315.02, Toronto, ON",5350315.02,69974.67
"CT0315.03, Toronto, ON",5350315.03,77620.44
"CT0316.01, Toronto, ON",5350316.01,88242.41
"CT0316.03, Toronto, ON",5350316.03,58865.53
"CT0316.04, Toronto, ON",5350316.04,45383.92
"CT0316.05, Toronto, ON",5350316.05,67890.3
"CT0316.06, Toronto, ON",5350316.06,59669.04
"CT0317.02, Toronto, ON",5350317.02,57947.42
"CT0317.03, Toronto, ON",5350317.03,102607.26
"CT0317.04, Toronto, ON",5350317.04,80602.9
"CT0317.05, Toronto, ON",5350317.05,98235.37
"CT0318.01, Toronto, ON",5350318.01,106866.61
"CT0318.02, Toronto, ON",5350318.02,70737.82
"CT0319.00, Toronto, ON",5350319.00,79459.62
"CT0320.01, Toronto, ON",5350320.01,61607.69
"CT0320.02, Toronto, ON",5350320.02,81305.55
"CT0321.01, Toronto, ON",5350321.01,114718.32
"CT0321.02, Toronto, ON",5350321.02,94467.78
"CT0322.01, Toronto, ON",5350322.01,77978.68
"CT0322.02, Toronto, ON",5350322.02,71963.81
"CT0323.01, Toronto, ON",5350323.01,102753.27
"CT0323.02, Toronto, ON",5350323.02,118839.91
"CT0324.01, Toronto, ON",5350324.01,105273.52
"CT0324.02, Toronto, ON",5350324.02,86937.75
"CT0324.03, Toronto, ON",5350324.03,76492.15
"CT0324.05, Toronto, ON",5350324.05,58291.27
"CT0324.06, Toronto, ON",5350324.06,148055.45
"CT0330.00, Toronto, ON",5350330.00,126472.68
"CT0331.01, Toronto, ON",5350331.01,110520.2
"CT0331.03, Toronto, ON",5350331.03,70663.4
"CT0331.04, Toronto, ON",5350331.04,93241.53
"CT0332.00, Toronto, ON",5350332.00,59386.29
"CT0333.00, Toronto, ON",5350333.00,111339.54
"CT0334.00, Toronto, ON",5350334.00,120418.83
"CT0335.00, Toronto, ON",5350335.00,71494.1
"CT0336.00, Toronto, ON",5350336.00,100893.75
"CT0337.01, Toronto, ON",5350337.01,63528.13
"CT0337.02, Toronto, ON",5350337.02,64859.52
"CT0338.00, Toronto, ON",5350338.00,93681
"CT0339.00, Toronto, ON",5350339.00,135000.33
"CT0340.00, Toronto, ON",5350340.00,78809.79
"CT0341.02, Toronto, ON",5350341.02,67048.85
"CT0341.03, Toronto, ON",5350341.03,43774.36
"CT0341.04, Toronto, ON",5350341.04,60270.3
"CT0342.00, Toronto, ON",5350342.00,97561.44
"CT0343.00, Toronto, ON",5350343.00,70359.48
"CT0344.01, Toronto, ON",5350344.01,70522.12
"CT0344.02, Toronto, ON",5350344.02,44450.82
"CT0345.00, Toronto, ON",5350345.00,87375.63
"CT0346.01, Toronto, ON",5350346.01,72747.06
"CT0346.02, Toronto, ON",5350346.02,77630.33
"CT0347.00, Toronto, ON",5350347.00,117132.49
"CT0348.00, Toronto, ON",5350348.00,92260.5
"CT0349.00, Toronto, ON",5350349.00,67647.22
"CT0350.00, Toronto, ON",5350350.00,87917.45
"CT0351.01, Toronto, ON",5350351.01,71683.59
"CT0351.02, Toronto, ON",5350351.02,72823.22
"CT0352.00, Toronto, ON",5350352.00,81811.33
"CT0353.02, Toronto, ON",5350353.02,84903.14
"CT0353.03, Toronto, ON",5350353.03,80521.66
"CT0353.04, Toronto, ON",5350353.04,70266.68
"CT0354.00, Toronto, ON",5350354.00,83930.96
"CT0355.02, Toronto, ON",5350355.02,72445.27
"CT0355.04, Toronto, ON",5350355.04,82733.29
